 Run 399629	 Raw lumi 6.26579	Cor lumi 3.72659	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 399631	 Raw lumi 5.34384	Cor lumi 2.65159	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 399755	 Raw lumi 12.7841	Cor lumi 3.42179	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 399767	 Raw lumi 3.12841	Cor lumi 0.260693	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 399770	 Raw lumi 1.96953	Cor lumi 1.87134	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 399771	 Raw lumi 20.3662	Cor lumi 9.77319	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 399781	 Raw lumi 2.86865	Cor lumi 2.72564	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 399782	 Raw lumi 7.22944	Cor lumi 5.11242	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 399791	 Raw lumi 10.0877	Cor lumi 5.4217	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 399792	 Raw lumi 11.0872	Cor lumi 6.38713	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 399793	 Raw lumi 2.2704	Cor lumi 1.68405	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 399795	 Raw lumi 9.80198	Cor lumi 8.61954	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 399797	 Raw lumi 0.669716	Cor lumi 0.636328	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 399798	 Raw lumi 4.3878	Cor lumi 1.43612	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 399799	 Raw lumi 2.00401	Cor lumi 1.59651	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 399802	 Raw lumi 2.3331	Cor lumi 1.46354	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 399804	 Raw lumi 28.3321	Cor lumi 1.93793	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 400069	 Raw lumi 3.31142	Cor lumi 3.13976	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 400070	 Raw lumi 5.24655	Cor lumi 4.97457	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 400077	 Raw lumi 3.54198	Cor lumi 2.388	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 400079	 Raw lumi 1.39247	Cor lumi 0.217738	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 400080	 Raw lumi 1.94169	Cor lumi 0.514252	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401512	 Raw lumi 33.5735	Cor lumi 0.937167	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401521	 Raw lumi 11.9172	Cor lumi 3.23379	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401528	 Raw lumi 13.6902	Cor lumi 5.08786	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401529	 Raw lumi 4.55568	Cor lumi 2.89089	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401530	 Raw lumi 30.0649	Cor lumi 6.58683	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401629	 Raw lumi 8.69956	Cor lumi 0.575005	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401633	 Raw lumi 5.89122	Cor lumi 0.566353	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401702	 Raw lumi 3.21992	Cor lumi 3.05656	 QEDC-corr stat-err 0.149071	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401704	 Raw lumi 6.35	Cor lumi 4.1721	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401712	 Raw lumi 2.34385	Cor lumi 2.22493	 QEDC-corr stat-err 0.166667	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401713	 Raw lumi 4.15224	Cor lumi 3.94157	 QEDC-corr stat-err 0.119523	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401717	 Raw lumi 3.29012	Cor lumi 1.32722	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401718	 Raw lumi 6.05763	Cor lumi 5.75029	 QEDC-corr stat-err 0.118678	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401719	 Raw lumi 20.765	Cor lumi 17.7336	 QEDC-corr stat-err 0.0646846	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401720	 Raw lumi 2.76821	Cor lumi 1.63962	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401722	 Raw lumi 18.6582	Cor lumi 0.515939	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401724	 Raw lumi 30.0568	Cor lumi 17.6343	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401725	 Raw lumi 28.6651	Cor lumi 21.4751	 QEDC-corr stat-err 0.0561656	 Av pol 0	 Pol err 0	 Pol run fraction 0
