 Run 444312	 Raw lumi 0.370555	Cor lumi 0.354609	 QEDC-corr stat-err 0.57735	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444314	 Raw lumi 0.487997	Cor lumi 0.466997	 QEDC-corr stat-err 0.447214	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444315	 Raw lumi 0.387344	Cor lumi 0.370676	 QEDC-corr stat-err 0.377964	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444422	 Raw lumi 3.24053	Cor lumi 3.20076	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444423	 Raw lumi 2.21385	Cor lumi 2.18668	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444424	 Raw lumi 0.369587	Cor lumi 0.365051	 QEDC-corr stat-err 0.57735	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444425	 Raw lumi 0.650828	Cor lumi 0.554152	 QEDC-corr stat-err 0.267261	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444435	 Raw lumi 0.244484	Cor lumi 0.241483	 QEDC-corr stat-err 0.377964	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444436	 Raw lumi 0.903899	Cor lumi 0.892804	 QEDC-corr stat-err 0.288675	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444437	 Raw lumi 1.49608	Cor lumi 1.47772	 QEDC-corr stat-err 0.196116	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444443	 Raw lumi 0.335716	Cor lumi 0.331595	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444444	 Raw lumi 4.86394	Cor lumi 4.80424	 QEDC-corr stat-err 0.116248	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444445	 Raw lumi 0.378581	Cor lumi 0.373934	 QEDC-corr stat-err 0.301511	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444446	 Raw lumi 1.22594	Cor lumi 1.21089	 QEDC-corr stat-err 0.25	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444449	 Raw lumi 0.731475	Cor lumi 0.527585	 QEDC-corr stat-err 0.447214	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444450	 Raw lumi 8.20247	Cor lumi 8.10179	 QEDC-corr stat-err 0.0909091	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444451	 Raw lumi 7.14442	Cor lumi 7.0016	 QEDC-corr stat-err 0.0936586	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444452	 Raw lumi 2.30455	Cor lumi 2.15292	 QEDC-corr stat-err 0.19245	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444453	 Raw lumi 0.320671	Cor lumi 0.316735	 QEDC-corr stat-err 0.447214	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444454	 Raw lumi 1.88803	Cor lumi 1.86486	 QEDC-corr stat-err 0.188982	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444457	 Raw lumi 4.04127	Cor lumi 3.99166	 QEDC-corr stat-err 0.128037	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444458	 Raw lumi 1.01832	Cor lumi 1.00582	 QEDC-corr stat-err 0.301511	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444460	 Raw lumi 0.284651	Cor lumi 0.281157	 QEDC-corr stat-err 0.408248	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444465	 Raw lumi 1.6186	Cor lumi 1.59874	 QEDC-corr stat-err 0.218218	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444467	 Raw lumi 1.46175	Cor lumi 1.44381	 QEDC-corr stat-err 0.242536	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444469	 Raw lumi 2.85899	Cor lumi 2.82389	 QEDC-corr stat-err 0.162221	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444490	 Raw lumi 6.5757	Cor lumi 4.21745	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444491	 Raw lumi 20.2296	Cor lumi 19.7612	 QEDC-corr stat-err 0.0583212	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444492	 Raw lumi 13.4781	Cor lumi 12.6441	 QEDC-corr stat-err 0.0778499	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444496	 Raw lumi 1.8353	Cor lumi 1.79281	 QEDC-corr stat-err 0.196116	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444500	 Raw lumi 3.40356	Cor lumi 2.9007	 QEDC-corr stat-err 0.149071	 Av pol 0	 Pol err 0	 Pol run fraction 0
